primaryName,avgRating,filmsCount,qualityIndex
Bram Stoker,6.78,15,101.7
Ehren Kruger,6.32,16,101.12
Dario Argento,6.73,15,100.95
George A. Romero,6.29,16,100.64
Terry Gilliam,7.11,14,99.54
Ron Bass,6.61,15,99.15
Lars von Trier,7.06,14,98.84
Francis Veber,6.56,15,98.4
M. Night Shyamalan,6.14,16,98.24
Christopher Nolan,8.16,12,97.92
Fran Walsh,7.53,13,97.89
Neeraj Vora,6.99,14,97.86
Billy Ray,6.52,15,97.8
Christopher Markus,6.98,14,97.72
Stephen McFeely,6.98,14,97.72
Blake Edwards,6.45,15,96.75
Nicholas Stoller,5.99,16,95.84
Shinobu Hashimoto,7.96,12,95.52
Wes Anderson,7.33,13,95.29
Robert Rodriguez,5.91,16,94.56
Gene Roddenberry,6.74,14,94.36
James Wan,6.27,15,94.05
Lawrence Kasdan,7.23,13,93.99
Christopher McQuarrie,7.15,13,92.95
Luis Buñuel,7.71,12,92.52
Orson Welles,7.66,12,91.92
Ronald Shusett,6.56,14,91.84
Robert Zemeckis,6.55,14,91.7
Stuart Beattie,6.54,14,91.56
Jim Jarmusch,7.04,13,91.52
Tonino Guerra,7.58,12,90.96
René Goscinny,6.46,14,90.44
Steven E. de Souza,6.01,15,90.15
Spike Lee,6.91,13,89.83
Guy Ritchie,6.9,13,89.7
Roald Dahl,6.85,13,89.05
Scott Frank,6.85,13,89.05
Kevin Smith,6.34,14,88.76
Shane Black,6.81,13,88.53
I.A.L. Diamond,7.32,12,87.84
Stanley Kubrick,7.94,11,87.34
Peter Farrelly,6.11,14,85.54
Neil Jordan,6.58,13,85.54
James Gunn,6.54,13,85.02
Elmore Leonard,6.54,13,85.02
Federico Fellini,7.71,11,84.81
Joe Simon,7.06,12,84.72
Ralph Wright,7.05,12,84.6
Kurt Wimmer,6.04,14,84.56
Chris Sanders,7.66,11,84.26
Alex Garland,7.01,12,84.12
Andrew Stanton,7.63,11,83.93
Joss Whedon,6.97,12,83.64
Alvin Sargent,6.96,12,83.52
Albert Uderzo,6.41,13,83.33
Edward Tang,6.94,12,83.28
Chris Morgan,6.4,13,83.2
Leigh Whannell,6.39,13,83.07
Cem Yılmaz,6.9,12,82.8
Amanda Silver,6.88,12,82.56
John Milius,6.87,12,82.44
Gary Scott Thompson,6.34,13,82.42
David Twohy,6.34,13,82.42
Mel Brooks,6.82,12,81.84
J.K. Rowling,7.42,11,81.62
Steve Ditko,6.79,12,81.48
Steve Kloves,7.4,11,81.4
Ken Daurio,6.26,13,81.38
John Thomas,6.25,13,81.25
Jim Thomas,6.25,13,81.25
Mark Burton,6.77,12,81.24
Dalton Trumbo,7.38,11,81.18
François Truffaut,7.38,11,81.18
Burny Mattinson,7.34,11,80.74
A.R. Murugadoss,6.72,12,80.64
Glenn Berger,6.18,13,80.34
Jonathan Aibel,6.18,13,80.34
Sajid,5.33,15,79.95
Jane Austen,6.66,12,79.92
William Moulton Marston,6.63,12,79.56
Michael Haneke,7.21,11,79.31
David Cronenberg,6.59,12,79.08
George Gallo,6.08,13,79.04
William Nicholson,7.18,11,78.98
Mark Bomback,6.58,12,78.96
Scott Moore,6.07,13,78.91
Jon Lucas,6.07,13,78.91
Hussain Dalal,5.63,14,78.82
Jeff Nathanson,6.54,12,78.48
David Ayer,6.51,12,78.12
Madhan Karky,7.07,11,77.77
Karey Kirkpatrick,6.48,12,77.76
Leslie Dixon,6.47,12,77.64
Jane Goldman,7.05,11,77.55
Tim Herlihy,5.95,13,77.35
Zak Penn,6.44,12,77.28
Evan Goldberg,6.43,12,77.16
Linda Woolverton,7.01,11,77.11
Alexandre Dumas,6.41,12,76.92
Richard Wenk,6.39,12,76.68
Nikolaj Arcel,6.95,11,76.45
Erdman Penner,6.95,11,76.45
Rick Jaffa,6.9,11,75.9
Philippa Boyens,7.59,10,75.9
Judd Apatow,6.32,12,75.84
Dardano Sacchetti,6.32,12,75.84
Mary Shelley,6.87,11,75.57
Ted Sears,6.86,11,75.46
Peter Craig,6.85,11,75.35
George Miller,6.84,11,75.24
Ernest Lehman,7.52,10,75.2
Clive Barker,5.78,13,75.14
Christopher Landon,5.78,13,75.14
Yunus Sajawal,5.36,14,75.04
Adam McKay,6.82,11,75.02
Roberto Orci,6.82,11,75.02
Jackie Chan,6.82,11,75.02
Park Chan-wook,7.49,10,74.9
Allan Loeb,6.23,12,74.76
Dave Callaham,6.23,12,74.76
Christopher Hampton,6.79,11,74.69
Javed Akhtar,7.46,10,74.6
Paul Thomas Anderson,7.44,10,74.4
Jorge Guerricaechevarría,6.74,11,74.14
Robert Ben Garant,5.68,13,73.84
John Lee Mahin,7.38,10,73.8
Jim Kouf,6.15,12,73.8
David Lynch,7.36,10,73.6
Arthur Conan Doyle,6.69,11,73.59
Ed Solomon,6.12,12,73.44
Alex Kurtzman,6.67,11,73.37
Nicholas Sparks,6.65,11,73.15
Wong Kar-Wai,7.31,10,73.1
Vijayendra Prasad,7.31,10,73.1
Charles Chaplin,8.12,9,73.08
Mike White,6.08,12,72.96
Kevin Williamson,6.08,12,72.96
Edgar Wright,7.29,10,72.9
John Fusco,6.62,11,72.82
Joe Carnahan,6.62,11,72.82
Rhett Reese,6.62,11,72.82
Paul Wernick,6.62,11,72.82
Debra Hill,5.6,13,72.8
John August,6.61,11,72.71
Jean-Luc Godard,7.24,10,72.4
Todd Phillips,6.58,11,72.38
Paul Haggis,7.23,10,72.3
Aaron Sorkin,7.23,10,72.3
Philip Kaufman,7.2,10,72.0
Brian De Palma,6.53,11,71.83
Lawrence Konner,5.97,12,71.64
Mani Ratnam,7.94,9,71.46
Tyler Perry,5.48,13,71.24
Michael Mann,7.11,10,71.1
Vance Gerry,7.11,10,71.1
Charles Lederer,7.11,10,71.1
Steve Martin,6.46,11,71.06
Scott Rosenberg,6.46,11,71.06
Richard Price,6.45,11,70.95
Nancy Meyers,6.45,11,70.95
Thomas Bidegain,7.09,10,70.9
Mark Monroe,7.87,9,70.83
Boaz Yakin,6.43,11,70.73
Hossein Amini,6.42,11,70.62
David Seltzer,6.41,11,70.51
John Morris,6.4,11,70.4
Sean Anders,6.4,11,70.4
H.G. Wells,6.39,11,70.29
Philip K. Dick,7.02,10,70.2
Dan Aykroyd,6.38,11,70.18
William Davies,6.36,11,69.96
Marlon Wayans,4.99,14,69.86
Jeffrey Boam,6.97,10,69.7
Joe Rinaldi,6.97,10,69.7
S. Shankar,6.92,10,69.2
Agatha Christie,6.91,10,69.1
Nora Ephron,6.24,11,68.64
