primaryTitle,startYear,genres
The Thundermans Return,2024,"Action,Comedy,Crime"
Grave Torture,2024,"Drama,Horror,Thriller"
Murder Mubarak,2024,"Comedy,Horror,Mystery"
Survive,2024,"Action,Adventure,Horror"
Chantal in Fairyland,2024,"Comedy,Fantasy"
One More Shot,2024,"Action,Thriller"
We Live in Time,2024,"Drama,Romance"
Saint-Exupéry,2024,"Adventure,Biography,Drama"
Small Things Like These,2024,"Drama,History"
Dog on Trial,2024,Comedy
Damaged,2024,"Action,Crime,Drama"
Dagr,2024,"Horror,Thriller"
Juror #2,2024,"Crime,Drama,Mystery"
Let Go,2024,Drama
A Part of You,2024,Drama
Crossing,2024,Drama
Killer Heat,2024,"Crime,Drama,Mystery"
When the Light Breaks,2024,Drama
Black Cab,2024,"Horror,Thriller"
The Wages of Fear,2024,"Action,Adventure,Drama"
Abigail,2024,"Action,Comedy,Crime"
Beating Hearts,2024,"Comedy,Crime,Drama"
Sons,2024,"Crime,Drama,Thriller"
Nukemailing,2024,Documentary
Speak No Evil,2024,"Drama,Horror,Thriller"
Malevych,2024,"Biography,Drama"
Colors of Evil: Red,2024,"Crime,Drama,Mystery"
Waves,2024,"Drama,History,Thriller"
Apocalypse Z: The Beginning of the End,2024,"Action,Horror,Sci-Fi"
Curse of the Sin Eater,2024,"Horror,Thriller"
Saturday Night,2024,"Biography,Comedy,Drama"
Yo no soy esa,2024,"Comedy,Romance"
Here & There,2024,Comedy
200% Wolf,2024,"Action,Adventure,Animation"
The Platform 2,2024,"Horror,Sci-Fi,Thriller"
El 47,2024,"Biography,Drama"
Bonjour Tristesse,2024,"Drama,Romance"
Riff Raff,2024,"Action,Comedy,Crime"
The Opera! Arias for an Eclipse,2024,"Drama,Fantasy,Musical"
Exhuma,2024,"Horror,Mystery"
The Roundup: Punishment,2024,"Action,Crime,Thriller"
The Surfer,2024,Thriller
Jamais sans mon psy,2024,Comedy
The Green Dinosaur,2024,"Adventure,Animation,Family"
Terrifier 3,2024,Horror
Uprising,2024,"Action,Drama,History"
Heretic,2024,"Horror,Thriller"
Ghost Cat Anzu,2024,"Animation,Drama,Family"
Orion and the Dark,2024,"Adventure,Animation,Comedy"
Do Patti,2024,"Crime,Drama,Mystery"
September 5,2024,"Drama,History,Thriller"
Frères,2024,Drama
Through My Window: Looking at You,2024,"Comedy,Drama,Romance"
Glyadyelov. Focus on Infinity,2024,Documentary
Weekend in Taipei,2024,"Action,Thriller"
Skincare,2024,"Comedy,Mystery,Thriller"
Karaoké,2024,"Comedy,Music"
Presence,2024,"Drama,Horror,Thriller"
Bird,2024,Drama
The Heartbreak Agency,2024,"Comedy,Romance"
Pacific Fear,2024,"Horror,Thriller"
Blame the Game,2024,"Comedy,Romance,Thriller"
The Shadow Strays,2024,"Action,Crime,Thriller"
Art of Love,2024,"Drama,Romance"
Checkpoint Zoo,2024,Documentary
Lucky Winners,2024,Comedy
Blood Star,2024,"Action,Crime,Horror"
Ducobu passe au vert!,2024,"Comedy,Family"
My Freaky Family,2024,"Adventure,Animation,Family"
Officer Black Belt,2024,"Action,Comedy,Crime"
Le panache,2024,"Comedy,Drama"
The Door-to-Door Bookstore,2024,"Comedy,Drama,Family"
Give a Little Beat,2024,Comedy
Anora,2024,"Comedy,Drama,Romance"
Bob Trevino Likes It,2024,"Comedy,Drama"
Panda Plan,2024,"Action,Comedy,Family"
War of the Worlds: Extinction,2024,"Action,Adventure,Sci-Fi"
Blue Lock: Episode Nagi,2024,"Animation,Drama,Sport"
I Can't Live Without You,2024,Comedy
Einstein and the Bomb,2024,"Documentary,History"
Rest in Peace,2024,"Drama,Thriller"
Heavier Trip,2024,"Adventure,Comedy,Music"
The Soul Eater,2024,"Crime,Horror,Mystery"
Heart of the Hunter,2024,"Action,Thriller"
Every You Every Me,2024,"Drama,Romance"
An Ordinary Case,2024,Drama
The Tearsmith,2024,"Drama,Fantasy,Romance"
The Devil's Bath,2024,"Drama,History,Horror"
Family Pack,2024,"Adventure,Comedy,Fantasy"
Dear Paris,2024,Comedy
The Children's Train,2024,"Drama,History"
Spirit of Friendship,2024,Family
Gracie and Pedro: Pets to the Rescue,2024,"Adventure,Animation,Comedy"
GTMax,2024,"Action,Crime,Drama"
Smile 2,2024,"Horror,Mystery,Thriller"
Undercover,2024,"Biography,Crime,Drama"
Nice Girls,2024,"Action,Comedy,Crime"
Here Now,2024,"Crime,Drama,Romance"
A Sloth Story,2024,"Adventure,Animation,Family"
Victory,2024,"Comedy,Drama,Musical"
Family Album,2024,Documentary
Runt,2024,Family
The Architects of Hope: The First Steps in Rebuilding Ukraine,2024,Documentary
The Room Next Door,2024,Drama
Flowers of Ukraine,2024,Documentary
Sixty Minutes,2024,"Action,Adventure,Drama"
Night of the Zoopocalypse,2024,"Adventure,Animation,Comedy"
The Train of Death,2024,"Horror,Thriller"
We Are Home,2024,Documentary
The Wild Robot,2024,"Adventure,Animation,Family"
Lost on a Mountain in Maine,2024,"Adventure,Family"
We Bury the Dead,2024,"Horror,Thriller"
Badland Hunters,2024,"Action,Adventure,Crime"
"Oh, Canada",2024,Drama
Babygirl,2024,"Drama,Romance,Thriller"
Nutcrackers,2024,"Comedy,Drama"
Sasquatch Sunset,2024,"Adventure,Comedy,Drama"
Trouble,2024,"Action,Comedy,Crime"
Porcelain War,2024,"Documentary,War"
Bitconned,2024,Documentary
Frida,2024,"Animation,Documentary"
Ghostlight,2024,"Comedy,Drama"
Power,2024,Documentary
Will & Harper,2024,Documentary
In a Violent Nature,2024,"Drama,Horror,Thriller"
The Marching Band,2024,"Comedy,Drama,Music"
Citizen of a Kind,2024,"Action,Comedy,Crime"
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024,"Action,Adventure,Animation"
Woodwalkers,2024,"Adventure,Family,Fantasy"
People,2024,"Drama,War"
Haikyu!! The Dumpster Battle,2024,"Animation,Comedy,Drama"
Soul Reaper,2024,"Fantasy,Horror,Thriller"
The Price of Nonna's Inheritance,2024,Comedy
Doors. Hotel Mystery,2024,"Fantasy,Horror"
This Is the Goat!,2024,"Comedy,History"
Friendship,2024,Comedy
Mission: Cross,2024,"Action,Comedy,Crime"
The Mouse Trap,2024,"Comedy,Fantasy,Horror"
A Little Something Extra,2024,Comedy
We Were Dangerous,2024,Drama
Beverly Hills Cop: Axel F,2024,"Action,Comedy,Crime"
On fait quoi maintenant?,2024,Comedy
Rumours,2024,"Comedy,Drama,Horror"
Lover Stalker Killer,2024,"Crime,Documentary"
A Bit of a Stranger,2024,"Documentary,History,War"
No Other Land,2024,Documentary
Intercepted,2024,"Documentary,War"
Kill Me If You Dare,2024,"Comedy,Romance"
The Sweet Life,2024,"Comedy,Drama,Romance"
Dahomey,2024,Documentary
Our Little Secret,2024,"Comedy,Romance"
Honeymoon,2024,"Drama,Thriller"
Piece by Piece,2024,"Animation,Biography,Comedy"
Grey Bees,2024,Drama
The Mousetrap,2024,"Drama,Thriller,War"
Life Train,2024,"Documentary,War"
Adam Bol,2024,"Action,Comedy"
Megamind vs. The Doom Syndicate,2024,"Action,Adventure,Animation"
The Casagrandes Movie,2024,"Adventure,Animation,Comedy"
A Sentimental Journey to the Parajanov Planet,2024,Documentary
Destiny or Will. Marusia,2024,"Biography,Documentary,Drama"
Bangkok Breaking: Heaven and Hell,2024,"Action,Crime,Drama"
The Light Slipping Through,2024,Documentary
The Antisocial Network: Memes to Mayhem,2024,Documentary
Wonderland,2024,"Drama,Sci-Fi"
Hack Your Health: The Secrets of Your Gut,2024,Documentary
Federer: Twelve Final Days,2024,"Biography,Documentary,Sport"
How to Make Millions Before Grandma Dies,2024,"Comedy,Drama,Family"
Young Royals Forever,2024,Documentary
Hear Me: Our Summer,2024,"Drama,Romance"
Technoboys,2024,"Comedy,Music"
Nice Ladies,2024,Documentary
Out of the Nest,2024,Animation
"Us, Our Pets and the War",2024,"Documentary,Drama,War"
The Land of Forgotten Songs,2024,Documentary
Hijack 1971,2024,"Action,Crime,Thriller"
No Pressure,2024,"Comedy,Romance"
You Shall Not Sleep Tonight,2024,"Horror,Thriller"
The Correspondent,2024,Thriller
What Jennifer Did,2024,"Crime,Documentary"
In Her Place,2024,"Crime,Drama,History"
The Wonderful Story of Henry Sugar and Three More,2024,"Comedy,Drama,Fantasy"
Maybe Baby 2,2024,Comedy
Apollo 13: Survival,2024,"Documentary,History"
The Eggsplosive Easter,2024,Comedy
Dough,2024,Documentary
Escape,2024,"Action,Adventure,Thriller"
Yaremchuk: Matchless World of Beauty,2024,"Biography,Documentary,Music"
Ukrainian Sappers. Diaries of the War,2024,Documentary
Generation Ukraine,2024,Documentary
Rave Toloka,2024,Documentary
The Grave,2024,Documentary
Cupressus,2024,Documentary
"Tomato, Big Cake and Victory",2024,Documentary
Secrets of the Neanderthals,2024,Documentary
Mary,2024,Drama
Misericordia,2024,"Comedy,Crime,Drama"
Marcello Mio,2024,Comedy
Fragments of Ice,2024,Documentary
In Limbo,2024,Documentary
Pilot,2024,Comedy
My Hero Academia: You're Next,2024,"Action,Adventure,Animation"
The Seed of the Sacred Fig,2024,"Crime,Drama,Thriller"
To Save Horsie,2024,Documentary
The Witch: Revenge,2024,"Drama,Fantasy,Horror"
The Confession,2024,Documentary
Following,2024,"Mystery,Thriller"
No Time to Spy: A Loud House Movie,2024,"Action,Adventure,Animation"
School of Magical Animals 3,2024,"Action,Adventure,Family"
Boxer,2024,"Drama,Sport"
Inheritance,2024,"Comedy,Drama,Mystery"
Justice,2024,"Crime,Drama"
Jamala: Songs of Freedom,2024,"Documentary,Music"
Everything Needs to Live,2024,Documentary
Elevation,2024,Documentary
How to Rob a Bank,2024,"Action,Crime,Documentary"
The Basement,2024,Documentary
The Luckiest Man in America,2024,"Biography,Comedy"
Mission 200,2024,Documentary
Hot Frosty,2024,"Comedy,Fantasy,Romance"
Standing our ground,2024,Documentary
The Merry Gentlemen,2024,"Comedy,Music,Romance"
Soldiers of Song,2024,Documentary
Pimp My Bride,2024,"Comedy,Romance"
Witnesses. Captivity That Kills,2024,Documentary
Outside,2024,"Horror,Thriller"
We Were Recruits,2024,"Documentary,War"
Mysteries of the Terracotta Warriors,2024,"Documentary,History"
Real,2024,Documentary
Kilometre,2024,Documentary
A Place Called Silence,2024,"Crime,Drama,Mystery"
Episodes: Ukraine at the World Cup (2024),2024,"Documentary,Sport"
Curve Bro's Parents Gets Arrested and Executed: The Movie,2024,Comedy
Bocchi the Rock! Recap Part 2,2024,"Animation,Comedy,Drama"
Save,2024,Documentary
Lucifer's Case,2024,""
Perun's Flute,2024,Documentary
Warning! Life Goes On,2024,Documentary
The Quiet Ones,2024,"Action,Crime"
Under the Volcano,2024,Drama
The Night Before Christmas in Wonderland,2024,"Animation,Family,Fantasy"
Antarctica: War Diaries,2024,Documentary
Super papa,2024,"Comedy,Family"
Athletes of War,2024,"Documentary,Sport,War"
Broken Rage,2024,"Comedy,Crime,Drama"
Songs of Slow Burning Earth,2024,"Documentary,War"
The New Year That Never Came,2024,"Drama,History"
EPISODES: Shadow of Chornobyl,2024,Documentary
EPISODES: Stay Tuned,2024,Documentary
Untold: The Murder of Air McNair,2024,"Crime,Documentary,Sport"
Secret Lives of Orangutans,2024,Documentary
Zinema,2024,Documentary
The Man Who Loved UFOs,2024,"Biography,Comedy,Drama"
(Un)lucky Sisters,2024,Comedy
He Fought at Marathon: Stories of Veterans,2024,Documentary
Jailbreak: Love on the Run,2024,"Crime,Documentary"
War Letters. Letter 1. Pulse of Ukraine,2024,Documentary
Challenger,2024,"Comedy,Sport"
Divorce,2024,"Comedy,Drama"
Lift Force,2024,"Documentary,War"
Military Chaplains. Pray in Hell,2024,Documentary
The Bibi Files,2024,"Biography,Documentary"
You Are the Apple of My Eye,2024,"Comedy,Drama,Romance"
Solo Leveling: ReAwakening,2024,"Action,Adventure,Animation"
Da Vinci,2024,"Biography,Documentary,War"
LOL Surprise! The Skate Dance Movie,2024,Comedy
The Menendez Brothers,2024,"Crime,Documentary"
Shoutai,2024,"Action,Crime,Thriller"
Sweet Bobby: My Catfish Nightmare,2024,Documentary
War Correspondent,2024,Documentary
Cognition Trilogy: Separation,2024,Documentary
Happiness Is,2024,"Comedy,Drama,Romance"
Breaking the Silence: The Maria Soledad Case,2024,"Crime,Documentary"
Road House,2024,"Action,Drama,Thriller"
Testament,2024,Documentary
Neighbours,2024,Family
At least in the Cinema 3,2024,Comedy
Sälem Papa,2024,"Comedy,Drama"
My Name is Qyzbolsyn,2024,Comedy
Operation Nabat,2024,"Action,Drama,Thriller"
Our Men. Afghan,2024,Action
How to Make a Killing,2024,"Comedy,Crime,Thriller"
1040 km,2024,Comedy
Taptym-au seni 2,2024,Comedy
From Hong Kong with Love,2024,Comedy
December 31st Express,2024,Comedy
Memoria,2024,Documentary
Zbory OSBB,2024,Comedy
Stories from the Cellar,2024,Documentary
Krapiva: Tsvetok smerti,2024,"Action,Fantasy,Horror"
The Storm,2024,"Drama,History"
Meeting Zelenskyy,2024,Documentary
I Survived,2024,Documentary
Can You Hear Me? The Invisible Battles of Ukrainian Military Medics,2024,Documentary
Poison,2024,"Drama,Thriller"
Malanka and Christmas,2024,Documentary
Homefront,2024,Documentary
Montis Momentum,2024,"Adventure,Documentary,Sport"
The War in Ukraine. Mariupol. Survivors.,2024,"Documentary,Drama,War"
Rizdvo. Ty ne odyn,2024,Musical
Son (Dream),2024,Comedy
Ukraine Mon Amour,2024,"Comedy,Drama,Family"
Flow,2024,"Adventure,Animation,Family"
Bad Boys: Ride or Die,2024,"Action,Adventure,Comedy"
Borderlands,2024,"Action,Adventure,Comedy"
Ordinary Angels,2024,"Biography,Drama"
Nosferatu,2024,"Fantasy,Horror,Mystery"
The Beautiful Game,2024,"Drama,Sport"
Young Woman and the Sea,2024,"Biography,Drama,Romance"
The Ministry of Ungentlemanly Warfare,2024,"Action,Comedy,War"
Chainsaws Were Singing,2024,"Comedy,Horror,Musical"
The First Omen,2024,Horror
The Garfield Movie,2024,"Adventure,Animation,Comedy"
Paddington in Peru,2024,"Adventure,Comedy,Family"
Trigger Warning,2024,"Action,Crime,Thriller"
The Glassworker,2024,"Animation,Drama,Romance"
Deadpool & Wolverine,2024,"Action,Adventure,Comedy"
The Unholy Trinity,2024,"Action,Adventure,Crime"
Kill Em All 2,2024,Action
And Mrs,2024,Comedy
The Rule of Jenny Pen,2024,"Horror,Mystery,Thriller"
Unit 234,2024,Thriller
Dragonkeeper,2024,"Adventure,Animation,Fantasy"
Spellbound,2024,"Adventure,Animation,Comedy"
A Beautiful Imperfection,2024,Drama
Despicable Me 4,2024,"Adventure,Animation,Comedy"
Turtles All the Way Down,2024,"Drama,Mystery,Romance"
Morena,2024,"Horror,Mystery,Romance"
10 Lives,2024,"Animation,Comedy,Family"
Miller's Girl,2024,"Comedy,Drama,Thriller"
Absolution,2024,"Action,Crime,Drama"
The Apprentice,2024,"Biography,Drama,History"
Bob Marley: One Love,2024,"Biography,Drama,Music"
Sleeping Dogs,2024,"Crime,Mystery,Thriller"
My Penguin Friend,2024,"Adventure,Drama,Family"
Noah's Ark,2024,"Adventure,Animation,Comedy"
Kraven the Hunter,2024,"Action,Adventure,Thriller"
Storm Crashers,2024,"Adventure,Animation,Family"
Transformers One,2024,"Action,Adventure,Animation"
The Brutalist,2024,Drama
Monkey Man,2024,"Action,Crime,Thriller"
Gladiator II,2024,"Action,Adventure,Drama"
The Idea of You,2024,"Comedy,Drama,Music"
Ultraman: Rising,2024,"Action,Adventure,Animation"
"#AMFAD: All My Friends Are Dead",2024,"Horror,Mystery,Thriller"
Sharp Corner,2024,"Drama,Thriller"
Night Swim,2024,"Horror,Mystery,Thriller"
Brothers,2024,"Action,Comedy,Crime"
